LIST OF STRUCTURAL ATTRIBUTES (SA) AND THEIR CORRELATION WEIGHTS


The total number of SMILES: in train set NsmsTRN=  29  in calibration set NsmsCLB=   7 Nact=124 NactSFk=124

SMILES is used  in the model
ID is number of SA in the completed list of SAs
N1 is the number of SMILES in training set with SA
N2 is the number of SMILES in invisible training set with SA
N3 is the number of SMILES in calibration set with SA

The number of SMILES in training set is 29
The number of SMILES in calibration set is 7

TRN++ : how many times attribute is placed in structures
of the training set where endpoint higher than middle.
TRN-- : how many times attribute is placed in structures
of the training set where endpoint lower than middle.

iTRN++, iTRN--, CLB++, and CLB-- are the analogical data
for invisible training set and calibration set.

 SAk        : CW(SAk)    :        ID  :        N1  :        N2  :        N3  : DEFECT[SAk]: TRN++      : TRN--      : iTRN++     : iTRN--     : CALIB++    : CALIB--    :
c...0...1...:         0.0:         191:           1:           0:           0:      0.0000:           1:           0:           0:           0:           0:           0:
c...1...(...:     0.37614:         192:          21:          24:           5:      0.0004:           6:          15:           8:          16:           1:           4:
c...1.......:    -0.00210:         193:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
c...1.../...:     0.30437:         194:          17:          11:           1:      0.0246:           3:          14:           1:          10:           0:           1:
c...1...F...:         0.0:         195:           1:           0:           0:      0.0000:           0:           1:           0:           0:           0:           0:
c...1...Cl..:         0.0:         196:           0:           1:           0:      0.0000:           0:           0:           1:           0:           0:           0:
c...1...c...:     1.58638:         197:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
c...2...(...:     1.32695:         198:          21:          25:           5:      0.0004:           7:          14:           8:          17:           1:           4:
c...2.......:    -0.03490:         199:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
c...2...C...:    -0.45561:         200:           5:           1:           2:      0.0162:           1:           4:           0:           1:           0:           2:
c...2...c...:    -0.52338:         201:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
c...3.......:         0.0:         202:           0:           0:           1:      0.0000:           0:           0:           0:           0:           0:           1:
c...3...c...:         0.0:         203:           0:           0:           1:      0.0000:           0:           0:           0:           0:           0:           1:
c...C...(...:         0.0:         204:           2:           2:           1:      0.0000:           0:           2:           1:           1:           1:           0:
c...C.......:     0.81736:         205:          11:           7:           2:      0.0072:           1:          10:           2:           5:           1:           1:
c...C...2...:         0.0:         206:           1:           2:           1:      0.0000:           0:           1:           1:           1:           1:           0:
c...C...C...:         0.0:         207:           0:           0:           1:      0.0000:           0:           0:           0:           0:           0:           1:
c...C...O...:    -0.23405:         208:           9:           5:           0:      1.0000:           1:           8:           1:           4:           0:           0:
c...O...(...:         0.0:         209:           0:           1:           0:      0.0000:           0:           0:           0:           1:           0:           0:
c...O.......:         0.0:         210:           0:           2:           0:      0.0000:           0:           0:           0:           2:           0:           0:
c...O...C...:         0.0:         211:           0:           1:           0:      0.0000:           0:           0:           0:           1:           0:           0:
c...c...(...:    -0.17670:         212:          26:          29:           6:      0.0012:           8:          18:           8:          21:           1:           5:
c...c.......:     0.16398:         213:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
c...c...0...:         0.0:         214:           1:           0:           0:      0.0000:           1:           0:           0:           0:           0:           0:
c...c...1...:     0.30253:         215:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
c...c...2...:     0.81027:         216:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
c...c...3...:         0.0:         217:           0:           0:           1:      0.0000:           0:           0:           0:           0:           0:           1:
c...c...c...:     0.26809:         218:          29:          29:           7:      0.0000:           8:          21:           8:          21:           1:           6:
c...n...(...:     1.71506:         219:          10:          17:           4:      0.0162:           4:           6:           7:          10:           1:           3:
c...n...2...:         0.0:         220:           2:           2:           1:      0.0000:           0:           2:           1:           1:           1:           0:
n...(.......:     0.27974:         221:          10:          17:           4:      0.0162:           4:           6:           7:          10:           1:           3:
n...(...c...:    -0.55315:         222:          10:          17:           4:      0.0162:           4:           6:           7:          10:           1:           3:
n...........:     0.89005:         223:          10:          17:           4:      0.0162:           4:           6:           7:          10:           1:           3:
n...2.......:         0.0:         224:           2:           2:           1:      0.0000:           0:           2:           1:           1:           1:           0:
n...2...C...:         0.0:         225:           2:           2:           1:      0.0000:           0:           2:           1:           1:           1:           0:
n...c...(...:     1.37505:         226:          10:          17:           4:      0.0162:           4:           6:           7:          10:           1:           3:
n...c.......:     0.33347:         227:          10:          17:           4:      0.0162:           4:           6:           7:          10:           1:           3:
n...c...1...:         0.0:         228:           2:           2:           1:      0.0000:           0:           2:           1:           1:           1:           0:
Threshold=4 Number of SMILES Attributes(SA)=228 Number of active SA=124

* List of attributes which are absent in invisible training set and not blocked:
   1 #...........
   2 (...C...#...
   3 (...N...#...
   4 2...C...(...
   5 C...#.......
   6 BOND11000000
   7 N...#.......
   8 N...#...C...

* List of attributes which are absent in calibration set and not blocked:
   1 $10011001000
   2 (...F...(...
   3 (...Br..(...
   4 2...C...(...
   5 F...(.......
   6 F...(...1...
   7 F...(...2...
   8 F...(...F...
   9 F...........
  10 Br..(.......
  11 Br..(...2...
  12 Br..........
  13 HALO10000000
  14 NOSP10000000
  15 \...O...C...
  16 [N+]........
  17 [O-]........
  18 c...C...O...

* List of attributes which are absent in invisible training and calibration sets and not blocked:
   1 2...C...(...
