This file contains the statistical classification of structural attributes (SA)



SMILES is used in the model
The classification is follows:
- if SA has CW(SA)>0 in all probes of the Monte Carlo optimization
then the SA is a promoter of the Endpoint increase (List 1)
- if SA has CW(SA)<0 in all probes of the Monte Carlo optimization
then the SA is a promoter of the Endpoint decrease (List 2)
- if SA has CW(SA)>0 together with CW(SA)<0 
then the role of SA is undefined (list 3)
- if SA is blocked, i.e., CW(SA)=0 
then the SA without of the model (list 4)

Each list is starting by No.=1, the ID is the numbering in total list of attributes.

N1, N2, and N3 are numbers of SMILES which contain SA 
in training, invisible training, and calibration sets, respectively

  No. :  ID : SAk        : CWs Probe 1: CWs Probe 2: CWs Probe 3:        N1  :        N2  :        N3  : Defect[SAk]:
    20:   56:=...C...2...:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
    21:   59:C...#.......:         0.0:         0.0:         0.0:           0:           5:           2:      0.0000
    22:   86:C...C...C...:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
    23:   91:C...c...2...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    24:   93:BOND11000000:         0.0:         0.0:         0.0:           0:           5:           2:      0.0000
    25:  102:F...1.......:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
    26:  114:Cl..1.......:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
    27:  118:HALO01100000:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    28:  122:N...#.......:         0.0:         0.0:         0.0:           0:           5:           2:      0.0000
    29:  123:N...#...C...:         0.0:         0.0:         0.0:           0:           5:           2:      0.0000
    30:  145:O...(...N...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    31:  156:O...c...(...:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
    32:  183:c...(...N...:         0.0:         0.0:         0.0:           0:           2:           2:      0.0000
    33:  185:c...(...S...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    34:  188:c...0.......:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    35:  189:c...0...1...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    36:  193:c...1...F...:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
    37:  194:c...1...Cl..:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
    38:  200:c...3.......:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    39:  201:c...3...c...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    40:  205:c...C...C...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    41:  209:c...O...C...:         0.0:         0.0:         0.0:           0:           1:           0:      0.0000
    42:  212:c...c...0...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000
    43:  215:c...c...3...:         0.0:         0.0:         0.0:           0:           0:           1:      0.0000

